-21507,14601
-22851,12437
-23877,10106
-24776,7539
-25567,4904
-26055,2293
-26110,-380
-25837,-3101
-25354,-5754
-24624,-8308
-23642,-10750
-22463,-13070
-21011,-15324
-19262,-17416
-17425,-19152
-15522,-20692
-13288,-22301
-10787,-23708
-8363,-24586
-5949,-25210
-3275,-25792
-491,-26006
2168,-25773
4755,-25426
7289,-24899
9727,-23940
12172,-22790
14540,-21628
16543,-20119
18278,-18189
20049,-16213
21749,-14203
23131,-11887
24217,-9383
24994,-6925
25416,-4418
25683,-1771
25854,898
25651,3546
25049,6162
24305,8625
23403,10932
22203,13222
20784,15480
19162,17549
17258,19364
15196,20967
13062,22403
10693,23659
8103,24641
5523,25317
2961,25761
314,25964
-2341,25863
-4951,25533
-7549,25002
-10038,24114
-12323,22883
-14472,21518
-16528,19985
-18485,18150
-20328,16165
-21887,14138
-23062,11879
-24116,9375
-25159,6882
-25809,4425
-25895,1846
-25778,-824
-25630,-3484
-25225,-6108
-24475,-8636
-23486,-11049
-22268,-13382
-20809,-15544
-19130,-17491
-17212,-19367
-15097,-21101
-12880,-22429
-10549,-23497
-8092,-24586
-5563,-25442
-2968,-25788
-353,-25895
2192,-25920
4780,-25585
7476,-24879
9984,-24040
12215,-22946
14522,-21437
16861,-19780
18754,-18134
20251,-16274
21728,-14097
23063,-11741
24070,-9277
24946,-6747
25679,-4213
26015,-1620
26033,1047
25817,3665
25190,6229
24297,8797
23438,11251
22338,13526
20700,15728
18887,17778
17158,19523
15157,21132
12710,22708
10153,23956
7690,24763
5198,25386
2574,25841
-135,25955
-2823,25854
-5422,25589
-7955,24867
-10396,23729
-12647,22590
-14739,21398
-16796,19758
-18787,17792
-20579,15871
-22107,13854
-23362,11426
-24392,8762
-25212,6242
-25708,3870
-25840,1386
-25789,-1277
-25607,-3955
-25118,-6558
-24308,-9114
-23276,-11546
-21967,-13739
-20416,-15785
-18779,-17788
-16929,-19614
-14714,-21171
-12417,-22603
-10236,-23920
-7879,-24883
-5224,-25442
-2564,-25809
6,-26013
2614,-25887
5238,-25447
7848,-24836
10434,-23978
12809,-22708
14926,-21153
16988,-19556
18936,-17865
20562,-15874
22022,-13640
23401,-11340
24414,-8937
25075,-6342
25642,-3696
25935,-1105
25783,1561
25505,4306
25164,6879
24387,9265
23190,11748
21829,14277
20245,16402
18462,18058
16639,19688
14549,21438
12079,22938
9666,23984
7388,24785
4777,25463
1912,25876
-680,25945
-3058,25723
-5602,25224
-8269,24477
-10805,23565
-13117,22431
-15262,20958
-17367,19250
-19337,17438
-20888,15407
-22168,13136
-23538,10845
-24721,8514
-25306,5937
-25631,3263
-25996,679
-25984,-2006
-25449,-4764
-24848,-7244
-24183,-9594
-23027,-12126
-21493,-14469
-19995,-16365
-18466,-18291
-16631,-20289
-14503,-21744
-12181,-22763
-9653,-23929
-6950,-24997
-4253,-25535
-1723,-25843
750,-26090
3396,-25882
6113,-25198
8602,-24417
10960,-23543
13427,-22363
15735,-20876
17577,-19147
19259,-17238
21039,-15224
22559,-13012
23605,-10546
24512,-8062
25384,-5652
25870,-3068
25882,-313
25701,2295
25421,4758
24883,7339
23999,9971
22831,12392
21451,14608
19878,16711
18110,18585
16192,20169
14093,21657
11710,23125
9156,24315
6688,25039
4244,25463
1609,25776
-1100,25902
-3710,25698
-6310,25174
-8857,24398
-11194,23378
-13469,22108
-15768,20635
-17790,18994
-19495,17150
-21160,15085
-22658,12868
-23726,10524
-24556,7975
-25263,5254
-25645,2587
-25822,96
-25962,-2385
-25682,-5028
