RX Cal Data Subarray 4,RX Cal Data Subarray 2,RX Cal Data Subarray 1,RX Cal Data Subarray 3
367.35545914262036,2500.2030216988733,-5820.0,-32768.0
-588.0730397663999,-11558.552915261942,-5006.0,-7686.0
1736.3785610957216,-33720.3036983967,-460.0,-32768.0
-9488.537972038477,-32931.7844699004,-956.0,-32768.0
75.88154118692486,-32470.34332449993,-3835.0,-32768.0
-3362.937238027693,-31856.426278006234,-7169.0,-32768.0
-1034.9297674636787,-31604.45191181418,1251.0,-32768.0
-7151.372870405273,-30763.964226291122,-4083.0,-29488.0
-9227.325885889082,4336.640400273563,-162.0,2598.0
-808.761094296493,-16833.455488471944,-10707.0,-2843.0
-808.761094296493,33890.625936882265,11693.0,-801.0
-808.761094296493,-1342.897669675959,32478.0,6728.0
30494.748997040588,33890.625936882265,32767.0,-462.0
15383.577811326544,30819.329640842527,32767.0,2242.0
45372.85408744491,-4816.670762703018,32767.0,939.0
46333.172720897004,6572.09915824438,32767.0,6594.0
46333.172720897004,-99.1077361595319,32767.0,-28.0
20173.03314778162,6523.882322779281,32767.0,1920.0
27970.573356183868,-123.73743994581292,32767.0,1641.0
7321.85090741249,1109.482182477531,19872.0,-3090.0
-3629.865978960763,1914.5439487966607,-656.0,-19760.0
1134.5611763132622,-7809.126603140744,-1182.0,-32768.0
-1722.6509123272706,865.1422700951144,-3473.0,-32768.0
-7905.319333632101,-4648.078086244729,1463.0,-32768.0
-1245.2982146579216,-1614.5116130652455,-6438.0,-32768.0
-1459.8466332333226,-9466.565154812602,-7852.0,-32768.0
-1845.073463614185,-31620.994273251163,824.0,-32758.0
-4187.896767302882,-30989.826553197436,-1876.0,-32768.0
-631.6454885200945,-7255.293802320929,-2590.0,-28574.0
-1475.9038759904124,-15861.048213782362,-6416.0,3983.0
-1319.764013874826,32067.73706839943,1432.0,-7859.0
93.29506320047241,-11862.355850874923,-2090.0,32767.0
8365.698719222662,33890.625936882265,1984.0,-5466.0
29711.458053520684,32829.92553360315,30110.0,5083.0
43145.778065596445,33357.88511971859,32767.0,204.0
44968.169022945076,32302.97803289209,32767.0,9606.0
46333.172720897004,31838.57043027191,32767.0,-31.0
37590.89712867052,29969.76434427892,32767.0,1448.0
17316.597928454226,-3406.2329364030174,32767.0,2103.0
27936.535096031377,4206.258521024893,32767.0,-856.0
808.7364128666119,1099.3609895211837,7265.0,1575.0
2577.336624055219,-8121.840786213686,-6715.0,-2268.0
808.7364128666119,215.67447682784345,-32768.0,2779.0
-34135.817228440574,-3181.5306170357035,-31286.0,-14766.0
1163.92840483545,-364.6035356551572,-32768.0,-32768.0
-3409.295658401648,-7452.257044438323,-9192.0,-32768.0
-1987.527058604196,-284.3412735305093,1102.0,-32768.0
-8919.03995704843,-3349.18644354403,-2957.0,-31426.0
-2448.720761806184,-2388.607676554639,-3591.0,-32768.0
496.03975151515453,132.87923713292057,-9257.0,181.0
-2550.433482717925,6853.106502707645,3363.0,-13237.0
663.5238907715756,25973.666977590827,-5186.0,20917.0
-2375.3498459708644,33890.625936882265,5599.0,32767.0
3114.5182833474455,33258.14235814284,5321.0,30494.0
-3775.6855157882087,33402.17258103406,-1410.0,32767.0
17678.267288719177,32482.954737386885,5923.0,27535.0
46333.172720897004,32325.62780625201,-2271.0,-1513.0
46333.172720897004,32069.813853031985,32767.0,3269.0
16599.01583177008,31603.487420483863,30652.0,1829.0
33288.18318204749,-1707.5914515281024,32767.0,2973.0
2295.9999840193254,11103.982776668168,10909.0,823.0
-546.4997709714047,-15367.28106930966,-2706.0,-950.0
808.7364128666119,-4022.7858373017516,-4105.0,321.0
-22007.28337427472,-732.8205283342745,-32768.0,-6119.0
-20352.082493695485,-4298.538904592554,-29579.0,565.0
-35803.50140496971,-7175.016713555988,-32768.0,-2540.0
-46333.197402326885,-2256.967368089894,-32768.0,-1751.0
-36502.02301889833,-1080.252198325391,-32768.0,-9428.0
926.3784559406678,-3286.3240411068514,-32768.0,-32768.0
-2578.7273925622717,-37.25530092283864,-9256.0,-10445.0
-2700.4546424002674,-2202.133932663627,2954.0,-18052.0
927.7663010885133,1944.9452301210633,-5990.0,21260.0
-1152.49861062426,-2583.031967766795,6752.0,22993.0
1779.4257246250527,11881.968252696655,5796.0,18105.0
-1797.0399174353215,33552.868607795455,113.0,32767.0
9808.944305588482,32019.99991557279,1835.0,30437.0
